Volume,Time
191585,11:10
217792,11:15
152710,11:20
231033,11:25
234862,11:30
153764,11:35
151345,11:40
112069,11:45
114945,11:50
152466,11:55
147361,12:00
121279,12:05
158723,12:10
87684,12:15
116989,12:20
101650,12:25
107979,12:30
93580,12:35
105018,12:40
113968,12:45
116986,12:50
99303,12:55
120992,13:00
162754,13:05
106872,13:10
226946,13:15
210896,13:20
162042,13:25
187825,13:30
134926,13:35
229764,13:40
305141,13:45
156628,13:50
167692,13:55
133446,14:00
154890,14:05
144231,14:10
200803,14:15
176212,14:20
176268,14:25
134741,14:30
146767,14:35
191049,14:40
134203,14:45
130826,14:50
152726,14:55
142365,15:00
175694,15:05
204373,15:10
260174,15:15
282068,15:20
329032,15:25
253146,15:30
224574,15:35
232517,15:40
394817,15:45
462453,15:50
636800,15:55
1366258,16:00
1207565,16:05
78163,16:10
34174,16:15
21679,16:20
10543,16:25
11796,16:30
2696,16:35
44490,16:40
6668,16:45
3348,16:50
2022,16:55
2004,17:00
2187,17:05
743,17:10
4063,17:15
125,17:20
890,17:25
1690,17:35
864,17:40
702,17:45
954,17:50
714,17:55
581,18:00
3444,18:05
499,18:10
131,18:15
1288,18:20
267,18:25
515,18:30
1020,18:40
627,18:45
639,18:55
123,19:00
478,19:05
791,19:10
444,19:20
209,19:35
2646,19:45
1310,19:50
142,19:55
3560,20:00
